 服务协议	=总数=38=未分类1|合同签订26|关联交易21|
  签订服务协议	=总数=14=合同签订9|关联交易8|
  签署服务协议	=总数=19=合同签订13|关联交易13|
 金融服务	=总数=35=未分类2|合同签订18|关联交易24|
  金融服务关联交易	=总数=5=合同签订3|关联交易5|
承包	=总数=12=未分类2|合同签订6|关联交易4|
 工程承包	=总数=6=未分类1|合同签订5|
 某公司承包	=总数=5=合同签订3|关联交易2|
激励	=总数=963=回购22|未分类1|股权激励952|
 与激励	=总数=99=股权激励99|
 激励获	=总数=27=回购8|股权激励24|
  激励获得	=总数=20=股权激励20|
 已激励	=总数=23=回购11|股权激励21|
 激励行	=总数=103=回购1|股权激励102|
  股权激励行	=总数=32=股权激励32|
 对激励	=总数=36=股权激励36|
 激励及	=总数=50=股权激励50|
 激励之	=总数=57=回购1|股权激励57|
  激励之法律	=总数=7=股权激励7|
  公司激励之	=总数=12=股权激励12|
  公司股票激励之	=总数=17=股权激励17|
 及激励	=总数=11=回购3|股权激励11|
  激励计划及激励对象	=总数=5=股权激励5|
 激励权	=总数=5=回购1|股权激励5|
 激励所	=总数=13=回购2|股权激励13|
 激励已	=总数=36=回购9|股权激励32|
 期权激励	=总数=412=股权激励412|
 激励摘要	=总数=73=股权激励73|
 终止激励	=总数=6=回购1|股权激励6|
  终止激励计划	=总数=5=股权激励5|
 激励方案	=总数=8=股权激励8|
 首期激励	=总数=82=股权激励82|
 激励股票	=总数=145=回购6|股权激励143|
  激励股票及	=总数=7=股权激励7|
  激励股票事项	=总数=10=股权激励10|
  激励股票股票	=总数=6=股权激励6|
  激励股票事宜	=总数=9=股权激励8|
  某某激励股票	=总数=7=股权激励7|
  激励股票数量	=总数=14=股权激励14|
  激励股票期权	=总数=6=股权激励6|
  激励股票限制性股票	=总数=7=股权激励7|
 激励对象	=总数=234=回购8|股权激励231|
  对激励对象	=总数=19=股权激励19|
  激励对象与	=总数=8=股权激励8|
  激励对象及	=总数=39=股权激励39|
  激励对象和	=总数=6=股权激励6|
  激励对象期权	=总数=27=股权激励27|
  计划激励对象	=总数=119=股权激励119|
  激励对象授予	=总数=61=股权激励61|
  股票激励对象	=总数=143=股权激励143|
  激励对象数量	=总数=39=股权激励39|
  激励对象名单	=总数=146=股权激励146|
  激励对象股票	=总数=45=股权激励45|
  预留激励对象	=总数=8=股权激励8|
  激励对象相关	=总数=9=股权激励9|
  限制性激励对象	=总数=21=股权激励21|
  股票期权激励对象	=总数=73=股权激励73|
  激励计划及激励对象	=总数=5=股权激励5|
  激励对象限制性股票	=总数=39=股权激励39|
  激励计划行权激励对象	=总数=6=股权激励6|
  激励计划首次激励对象	=总数=12=股权激励12|
  股票期权首次激励对象	=总数=10=股权激励10|
  激励计划某某激励对象	=总数=5=股权激励5|
  限制性股票授予激励对象	=总数=5=股权激励5|
  激励计划行权期激励对象	=总数=6=股权激励6|
 部分激励	=总数=11=回购5|股权激励8|
 某某激励	=总数=24=回购1|股权激励23|
  某某激励股票	=总数=7=股权激励7|
  某某激励计划	=总数=11=股权激励10|
  激励计划某某激励对象	=总数=5=股权激励5|
 注销激励	=总数=31=回购13|股权激励27|
 激励授予	=总数=173=回购1|股权激励172|
  向激励授予	=总数=27=股权激励27|
  激励授予事项	=总数=38=股权激励38|
  激励授予激励	=总数=9=股权激励9|
  股票激励授予	=总数=111=股权激励111|
  激励授予名单	=总数=15=股权激励15|
  激励授予预留	=总数=13=股权激励13|
  公司激励授予	=总数=50=股权激励50|
  激励授予期权	=总数=41=股权激励41|
  激励授予数量	=总数=9=股权激励9|
  激励授予相关事项	=总数=25=股权激励25|
  股票期权激励授予	=总数=57=股权激励57|
  激励授予之法律意见书	=总数=6=股权激励6|
 激励条件	=总数=26=回购7|股权激励23|
  股权激励条件	=总数=6=股权激励6|
 激励修订	=总数=20=股权激励20|
 激励数量	=总数=33=股权激励33|
 激励公告	=总数=19=股权激励19|
 激励解锁	=总数=39=回购9|股权激励36|
 某人激励	=总数=10=股权激励10|
 实施激励	=总数=14=回购1|股权激励13|
  实施激励计划	=总数=11=股权激励11|
 调整激励	=总数=40=回购1|股权激励40|
  调整激励数量	=总数=10=股权激励10|
  调整激励对象数量	=总数=22=股权激励22|
  调整激励对象授予	=总数=5=股权激励5|
  调整激励对象及数量	=总数=5=股权激励5|
  调整激励对象及授予数量	=总数=6=股权激励6|
  调整激励对象名单授予数量	=总数=6=股权激励6|
  调整激励对象名单及授予数量	=总数=9=股权激励9|
 激励股份	=总数=14=回购3|股权激励13|
 激励回购	=总数=7=回购2|股权激励5|
 股票激励	=总数=724=回购4|股权激励724|
  股票激励及	=总数=24=股权激励24|
  股股票激励	=总数=34=股权激励34|
  对股票激励	=总数=22=股权激励22|
  年股票激励	=总数=42=股权激励42|
  股票激励对象	=总数=143=股权激励143|
  股票激励授予	=总数=111=股权激励111|
  股票激励人员	=总数=27=股权激励27|
  期权股票激励	=总数=95=股权激励95|
  股票激励数量	=总数=12=股权激励12|
  股票激励名单	=总数=114=股权激励114|
  首期股票激励	=总数=65=股权激励65|
  预留股票激励	=总数=9=股权激励9|
  股票激励预留	=总数=22=股权激励22|
 激励某某	=总数=51=回购2|股权激励51|
  激励某某行权	=总数=34=股权激励34|
  股权激励某某	=总数=21=股权激励21|
 激励完成	=总数=19=回购1|股权激励18|
 激励期权	=总数=84=股权激励84|
 激励部分	=总数=13=回购2|股权激励13|
  激励部分股票期权	=总数=7=股权激励7|
 激励预留	=总数=45=股权激励45|
 激励相关	=总数=70=回购1|股权激励70|
  股权激励相关	=总数=11=股权激励11|
  激励相关事项	=总数=61=股权激励61|
  公司激励相关	=总数=14=股权激励14|
 激励事项	=总数=109=股权激励108|
 激励名单	=总数=158=股权激励158|
 激励分配	=总数=8=股权激励8|
 回购激励	=总数=27=回购13|股权激励23|
 股权激励	=总数=165=回购7|股权激励162|
  股权激励及	=总数=11=股权激励11|
  股权激励行	=总数=32=股权激励32|
  对股权激励	=总数=8=股权激励8|
  股权激励相关	=总数=11=股权激励11|
  股权激励摘要	=总数=6=股权激励6|
  股权激励限售	=总数=6=股权激励6|
  某某股权激励	=总数=12=股权激励12|
  股权激励事项	=总数=18=股权激励18|
  股权激励方案	=总数=5=股权激励5|
  股权激励公告	=总数=11=股权激励11|
  某人股权激励	=总数=6=股权激励6|
  股权激励数量	=总数=6=股权激励6|
  股权激励条件	=总数=6=股权激励6|
  调整股权激励	=总数=7=股权激励7|
  股权激励某某	=总数=21=股权激励21|
  股权激励计划	=总数=107=股权激励107|
  公司股权激励	=总数=46=股权激励46|
  股权激励名单	=总数=13=股权激励13|
  限制性股权激励	=总数=7=股权激励7|
  股权激励解除限售	=总数=5=股权激励5|
 激励事宜	=总数=7=股权激励6|
 激励激励	=总数=123=回购2|股权激励123|
 激励办法	=总数=6=股权激励6|
 激励注销	=总数=23=回购2|股权激励21|
 第三期激励	=总数=15=股权激励15|
 限制性激励	=总数=418=回购4|股权激励418|
  限制性激励对象	=总数=21=股权激励21|
 不符合激励	=总数=17=回购7|股权激励14|
 激励实施办法	=总数=45=股权激励45|
 激励上市流通	=总数=5=股权激励5|
 激励人员名单	=总数=26=股权激励26|
 股票计划激励	=总数=108=股权激励108|
 激励限制性股票	=总数=78=回购3|股权激励77|
  激励限制性股票解锁	=总数=8=股权激励8|
  激励限制性股票事项	=总数=18=股权激励18|
  激励限制性股票公告	=总数=5=股权激励5|
配股	=总数=52=配股51|增发3|
 配股结果	=总数=5=配股5|
 认购配股	=总数=5=配股5|
 配股发行	=总数=8=配股8|
 配股募集资金	=总数=5=配股5|
 配股申请某公司	=总数=6=配股6|
 配股提示性公告	=总数=14=配股14|
 配股申请获得某公司	=总数=5=配股5|
公众	=总数=25=回购24|未分类1|
 回购社会公众股份	=总数=24=回购24|
 回购部分社会公众股份	=总数=14=回购14|
尚未	=总数=23=回购9|未分类1|股权激励17|
 已获授尚未解锁	=总数=22=回购9|股权激励17|
 已获授但尚未解锁	=总数=21=回购8|股权激励17|
简历	=总数=11=未分类2|高管变动9|
 候选人简历	=总数=6=高管变动6|
补贴	=总数=84=未分类1|政府补贴82|诉讼仲裁1|
 获得补贴	=总数=35=政府补贴35|
 财政补贴	=总数=22=政府补贴22|
 收到补贴	=总数=41=政府补贴41|
 公司补贴	=总数=35=未分类1|政府补贴34|
  子公司补贴	=总数=23=政府补贴23|
 补贴资金	=总数=14=政府补贴14|
 政府补贴	=总数=46=政府补贴46|
 专项补贴	=总数=5=政府补贴5|
任职	=总数=13=未分类1|高管变动11|
 任职资格	=总数=8=高管变动7|
 董事任职	=总数=7=高管变动6|
部门	=总数=32=未分类2|高管变动3|股份减持1|违规违纪26|
 部门及	=总数=15=未分类1|违规违纪14|
 某某部门	=总数=16=高管变动1|违规违纪15|
 某某证券监管部门和交易所采取监管措施	=总数=26=违规违纪26|
 某某被证券监管部门和交易所采取监管措施	=总数=25=违规违纪25|
非及	=总数=38=高管变动3|增发27|关联交易10|兼并收购3|
 公司非及	=总数=15=高管变动1|增发10|关联交易7|
措施	=总数=83=未分类5|违规违纪76|增发2|关联交易1|资产重组1|
 对措施	=总数=5=违规违纪5|
 采取措施	=总数=38=违规违纪38|
 公司措施	=总数=16=违规违纪16|
 整改措施	=总数=7=未分类1|违规违纪6|
  情况整改措施	=总数=5=违规违纪5|
 监管措施	=总数=59=违规违纪59|
 某某措施	=总数=27=未分类1|违规违纪26|
 收到措施	=总数=6=违规违纪6|
 某地局措施	=总数=13=违规违纪13|
 某地证监局措施	=总数=28=违规违纪28|
 责令改正措施决定	=总数=10=违规违纪10|
 对公司采取责令措施	=总数=10=违规违纪10|
民事	=总数=16=诉讼仲裁15|资产重组1|
 收到民事	=总数=12=诉讼仲裁12|
 收到法院民事	=总数=8=诉讼仲裁8|
 收到某地民事	=总数=8=诉讼仲裁8|
 收到某地海事法院民事	=总数=6=诉讼仲裁6|
将所	=总数=9=股份减持7|质押2|担保事项1|
 拟将所	=总数=6=股份减持6|
司法	=总数=11=股份减持1|诉讼仲裁10|股份增持1|
 股东司法	=总数=9=诉讼仲裁8|股份增持1|
  股东司法冻结	=总数=8=诉讼仲裁8|
 公司司法	=总数=6=诉讼仲裁6|
 股权司法	=总数=5=股份减持1|诉讼仲裁5|
 股东被司法	=总数=5=股份减持1|诉讼仲裁5|
 某公司法律意见书	=总数=20=股份减持4|股权激励3|兼并收购9|股份增持4|
后持	=总数=12=大宗交易1|股份减持10|兼并收购1|股份增持1|
 股东后持	=总数=9=大宗交易1|股份减持9|
仲裁	=总数=19=股份减持1|诉讼仲裁19|
 仲裁事项	=总数=6=诉讼仲裁6|
 仲裁公告	=总数=9=诉讼仲裁9|
 仲裁进展	=总数=7=诉讼仲裁7|
 重大仲裁	=总数=7=诉讼仲裁7|
产销	=总数=37=未分类1|合同签订3|关联交易1|业绩发布32|
 年月产销	=总数=11=业绩发布10|
 产品产销	=总数=9=未分类1|业绩发布8|
  年月份产品产销数据快报	=总数=8=业绩发布8|
 产销快报	=总数=30=业绩发布30|
 年月份产销数据快报	=总数=11=业绩发布11|
对年	=总数=8=未分类1|高管变动1|违规违纪1|关联交易5|担保事项3|
 独立董事对年	=总数=5=高管变动1|关联交易4|担保事项3|
完毕	=总数=22=回购2|未分类3|股份减持2|股份增持13|担保事项1|
 公司完毕	=总数=10=未分类1|股份增持8|担保事项1|
 实施完毕	=总数=17=回购2|未分类1|股份减持2|股份增持12|
  控股实施完毕	=总数=9=未分类1|股份增持8|
  股份实施完毕	=总数=11=回购2|股份减持1|股份增持8|
  持计划实施完毕	=总数=13=股份减持1|股份增持12|
   增持计划实施完毕	=总数=12=股份增持12|
  股份计划实施完毕	=总数=9=股份减持1|股份增持8|
   增持公司股份计划实施完毕	=总数=8=股份增持8|
高管	=总数=60=未分类4|高管变动47|股份减持3|股份增持6|
 聘任高管	=总数=9=未分类1|高管变动8|
