补助资金	=总数=49=政府补贴49|
 公司资产标	=总数=6=增发5|资产重组1|
 公司向资产	=总数=22=未分类1|股份减持2|增发16|关联交易12|资产重组2|
 对公司资产	=总数=5=增发2|关联交易2|资产重组2|兼并收购1|
 公司所资产	=总数=9=股份减持2|关联交易4|增发1|兼并收购2|
 公司出售资产	=总数=6=增发2|关联交易5|资产重组1|
 公司公司资产	=总数=5=股份减持2|增发1|关联交易1|资产重组1|股份增持1|
 公司购买资产	=总数=260=未分类3|合同签订2|增发246|关联交易73|资产重组23|兼并收购6|
 公司资产报告	=总数=47=合同签订1|股份减持11|增发14|资产重组6|质押1|兼并收购17|预增1|股份增持1|
 公司股东资产	=总数=17=未分类1|股份减持3|增发4|关联交易5|资产重组2|兼并收购3|
 公司资产相关	=总数=6=增发2|关联交易1|资产重组3|
下属公司	=总数=36=未分类7|合同签订5|股份减持3|关联交易7|兼并收购3|业绩发布1|担保事项13|
 及下属公司	=总数=5=关联交易4|兼并收购2|担保事项1|
 对下属公司	=总数=5=关联交易1|担保事项4|
 公司下属公司	=总数=8=未分类1|合同签订1|股份减持1|关联交易4|兼并收购2|担保事项2|
资产报告	=总数=269=未分类10|合同签订5|股份减持87|关联交易2|增发79|资产重组25|质押3|业绩发布2|兼并收购74|预增2|担保事项1|股份增持4|
 资产报告书	=总数=100=未分类3|合同签订5|股份减持34|关联交易1|增发27|资产重组17|质押3|兼并收购24|担保事项1|股份增持2|
  资产报告书摘要	=总数=10=合同签订2|股份减持1|增发7|资产重组3|兼并收购2|质押1|
 及资产报告	=总数=26=股份减持6|增发16|资产重组1|兼并收购3|
 资产之报告	=总数=17=合同签订1|增发13|资产重组4|质押1|兼并收购3|预增1|
 拟资产报告	=总数=114=未分类6|股份减持40|增发22|资产重组3|兼并收购44|预增1|股份增持3|
 资产报告摘要	=总数=10=合同签订2|增发8|资产重组3|兼并收购2|质押1|
获得核准	=总数=97=债券发行8|未分类6|配股3|关联交易1|增发69|资产重组7|兼并收购6|
 股份获得核准	=总数=6=增发5|兼并收购1|
股票更正	=总数=6=首发5|股权激励1|增发1|
签订租赁	=总数=8=合同签订8|关联交易1|兼并收购1|
重组财务	=总数=10=增发1|资产重组10|
回购激励	=总数=6=回购6|股权激励5|
重组资产	=总数=14=关联交易2|增发2|资产重组14|
股东股权	=总数=400=回购6|未分类3|合同签订4|股份减持29|诉讼仲裁6|关联交易2|兼并收购19|业绩发布1|质押337|股份增持10|
 股东及股权	=总数=5=股份减持1|质押4|股份增持1|
 股东所股权	=总数=9=诉讼仲裁1|兼并收购1|质押7|
 股东股权解	=总数=5=质押5|
 股东股权及	=总数=42=回购2|股份减持1|诉讼仲裁1|质押40|股份增持1|
 股东拟股权	=总数=7=股份减持5|兼并收购2|
 股东股权押	=总数=5=质押5|
 大股东股权	=总数=25=回购1|合同签订1|股份减持2|质押22|股份增持1|
 子公司股东股权	=总数=14=股份减持1|兼并收购11|股份增持2|
以现金及	=总数=18=增发17|兼并收购1|
为提供贷	=总数=9=关联交易5|担保事项4|
收购专项	=总数=8=未分类1|兼并收购7|
交易结果	=总数=5=股份减持2|交易异动1|增发2|关联交易2|
资产完成	=总数=24=股份减持1|关联交易4|增发14|资产重组6|兼并收购5|
股份认购	=总数=22=未分类1|合同签订18|增发10|关联交易5|股份增持7|
矿业股权	=总数=5=合同签订1|股份减持1|兼并收购4|
资金认购	=总数=12=未分类1|配股1|关联交易1|增发8|资产重组2|股份增持2|
购买事项	=总数=92=未分类6|关联交易2|增发82|资产重组1|兼并收购1|股份增持1|
 公司购买事项	=总数=12=未分类2|关联交易1|增发8|兼并收购1|
 购买相关事项	=总数=6=未分类1|增发5|资产重组1|
股东部分	=总数=167=回购3|首发1|未分类1|合同签订1|股份减持10|关联交易1|诉讼仲裁2|兼并收购1|质押152|担保事项1|股份增持2|
 公司股东部分	=总数=25=股份减持1|质押24|
债券付息	=总数=18=债券发行18|
上市报告	=总数=22=回购1|首发1|关联交易1|增发19|资产重组1|
 股份上市报告	=总数=19=关联交易1|增发19|
股份股份	=总数=20=回购5|未分类2|大宗交易1|股份减持5|增发4|质押1|兼并收购2|股份增持3|
 股份及股份	=总数=8=回购5|增发1|质押1|兼并收购1|
金融协议	=总数=14=未分类2|合同签订12|关联交易3|
股票授予	=总数=188=回购2|未分类2|股权激励184|
 股票及授予	=总数=21=股权激励21|
 股票授予及	=总数=10=股权激励10|
 对股票授予	=总数=5=股权激励5|
 股票授予登记	=总数=16=股权激励16|
 限制性股票授予	=总数=104=股权激励104|
签署合同	=总数=45=合同签订45|增发1|关联交易2|兼并收购1|股份增持1|担保事项2|
 与签署合同	=总数=14=合同签订14|增发1|关联交易2|股份增持1|
 子公司签署合同	=总数=5=合同签订5|担保事项1|
发行核准	=总数=74=债券发行10|未分类2|增发64|资产重组1|
 发行获核准	=总数=6=债券发行2|增发4|资产重组1|
 公开发行核准	=总数=7=债券发行3|未分类1|增发4|
全部股权	=总数=21=股份减持11|兼并收购9|担保事项1|
 拟全部股权	=总数=7=股份减持3|兼并收购4|
 子公司全部股权	=总数=6=股份减持3|兼并收购3|
公开报告	=总数=168=首发1|未分类2|股权激励11|关联交易2|增发154|资产重组2|
 公开报告书	=总数=44=首发1|股权激励11|关联交易1|增发32|资产重组1|
  独立董事公开征集投票权报告书	=总数=10=股权激励10|
部分解除	=总数=88=回购1|诉讼仲裁2|质押86|
扶持资金	=总数=9=政府补贴9|
人收购之	=总数=9=未分类1|兼并收购8|
监事选举	=总数=27=高管变动27|
股权债权	=总数=6=股份减持4|资产重组1|兼并收购1|
其他担保	=总数=9=关联交易1|担保事项9|
股价异动	=总数=44=交易异动44|
部分有限	=总数=10=未分类1|兼并收购8|股份增持1|
财政资金	=总数=18=获得奖项1|政府补贴17|
公司现金	=总数=154=未分类10|关联交易23|增发143|资产重组7|兼并收购2|
 公司及现金	=总数=101=未分类1|关联交易22|增发100|资产重组6|
股份摘要	=总数=8=首发1|增发7|
 股份报告书摘要	=总数=9=增发9|
公司生效	=总数=5=合同签订4|高管变动1|关联交易1|
贷款责任	=总数=6=关联交易4|业绩发布1|担保事项1|
 子公司贷款责任	=总数=5=关联交易4|担保事项1|
代表监事	=总数=186=未分类2|高管变动185|
解除质押	=总数=235=回购4|质押235|股份增持1|
 解除及质押	=总数=22=质押22|
 持解除质押	=总数=17=质押17|
重组事项	=总数=127=未分类1|合同签订1|关联交易1|增发3|资产重组125|兼并收购2|
资产股票	=总数=12=增发5|资产重组7|
签订合作	=总数=93=合同签订93|股份减持1|关联交易4|兼并收购2|担保事项1|
 与签订合作	=总数=40=合同签订40|股份减持1|关联交易3|担保事项1|
 签订合作意向书	=总数=12=合同签订12|
资产相关	=总数=26=未分类1|合同签订1|股份减持2|增发10|关联交易3|资产重组12|
 资产及相关	=总数=7=股份减持2|增发3|关联交易2|资产重组1|
 购买资产相关	=总数=11=增发9|关联交易2|资产重组1|
投资股权	=总数=26=回购1|股份减持6|关联交易2|兼并收购13|股份增持6|
收购进展	=总数=28=未分类3|兼并收购24|股份增持1|
公司购买	=总数=325=未分类44|合同签订5|增发246|关联交易82|资产重组32|质押3|兼并收购13|预增1|股份增持5|担保事项1|
 公司及购买	=总数=167=未分类6|增发159|关联交易36|资产重组16|兼并收购2|
 公司向购买	=总数=18=未分类1|增发16|关联交易10|资产重组2|
 公司购买之	=总数=32=合同签订3|增发28|资产重组4|质押1|兼并收购4|预增1|
 公司购买所	=总数=6=关联交易4|增发2|
关联预案	=总数=17=未分类1|增发16|关联交易16|资产重组2|兼并收购2|
调整价格	=总数=16=回购2|债券发行2|未分类1|股权激励10|增发1|
资金股东	=总数=6=增发1|兼并收购5|
公司秘书	=总数=12=高管变动12|
公司责令	=总数=11=违规违纪11|
发行预案	=总数=147=债券发行9|增发138|
 发行预案公告	=总数=7=债券发行7|
 非公开发行预案	=总数=128=增发128|
资产交易	=总数=18=交易异动1|增发5|关联交易8|资产重组7|
全资收购	=总数=19=兼并收购19|
修正公告	=总数=129=大宗交易1|股份减持1|预减73|业绩发布125|预增43|
交易完成	=总数=6=回购1|合同签订1|股份减持2|关联交易3|质押1|
聘任秘书	=总数=32=高管变动32|
本次事项	=总数=11=高管变动1|增发3|资产重组7|
回购完成	=总数=14=回购14|股权激励4|
出售部分	=总数=10=未分类1|合同签订1|股份减持4|关联交易1|资产重组2|兼并收购1|
股东交易	=总数=97=回购75|大宗交易1|未分类5|合同签订3|股份减持4|违规违纪1|关联交易8|兼并收购3|质押73|股份增持3|
 股东购交易	=总数=71=回购63|未分类4|合同签订3|股份减持3|兼并收购1|质押61|股份增持1|
 股东及交易	=总数=8=回购4|关联交易3|质押4|股份增持1|
 股东式交易	=总数=60=回购56|未分类1|合同签订3|股份减持3|兼并收购1|质押55|
  股东进行式交易	=总数=34=回购31|合同签订1|股份减持3|兼并收购1|质押30|
 股东进行交易	=总数=64=回购59|大宗交易1|合同签订1|股份减持3|兼并收购1|质押57|股份增持1|
激励事宜	=总数=5=股权激励5|
报告及表	=总数=16=未分类2|业绩发布14|
拟收购所	=总数=31=兼并收购31|
股份质押	=总数=180=回购3|质押180|担保事项1|
 股份及质押	=总数=22=回购1|质押22|
 人股份质押	=总数=6=质押6|
 股份解质押	=总数=7=质押7|
股东人持	=总数=75=大宗交易1|合同签订1|股份减持42|股份增持33|
 控股股东人减持	=总数=41=大宗交易1|股份减持41|
中期票据	=总数=15=债券发行14|高管变动1|
 中期票据注册	=总数=10=债券发行10|
在板上市	=总数=73=首发69|未分类4|
 在中小板上市	=总数=5=首发5|
资产意见	=总数=31=关联交易2|增发23|资产重组9|业绩发布1|兼并收购1|
补充协议	=总数=39=未分类5|合同签订32|股份减持2|增发4|资产重组2|股份增持1|
 之补充协议	=总数=22=未分类2|合同签订19|股份减持1|增发4|股份增持1|
 与补充协议	=总数=13=合同签订13|增发2|资产重组1|
转让房产	=总数=6=股份减持6|
公司产业	=总数=10=合同签订1|政府补贴5|增发1|关联交易1|资产重组4|兼并收购2|
 公司产业和	=总数=5=政府补贴1|增发1|关联交易1|资产重组4|兼并收购2|
终止计划	=总数=11=回购1|未分类1|合同签订1|股权激励8|
特别公告	=总数=20=债券发行1|首发7|合同签订8|资产重组2|兼并收购2|
 特别提示公告	=总数=5=债券发行1|资产重组2|兼并收购2|
核查公告	=总数=19=首发1|未分类3|交易异动14|担保事项1|
上市发行	=总数=29=首发28|增发1|
股权有关	=总数=5=兼并收购4|股份增持1|
发行股票	=总数=936=债券发行1|未分类21|首发208|合同签订1|股份减持1|关联交易31|增发708|资产重组3|股份增持2|
 发行股票及	=总数=37=未分类1|首发9|关联交易5|增发27|
 发行股票之	=总数=39=未分类1|首发8|增发30|
 发行股票书	=总数=76=首发29|关联交易2|增发47|资产重组1|
复牌公告	=总数=151=未分类15|高管变动1|股权激励5|交易异动13|资产重组74|回购1|合同签订3|股份减持1|专利获取1|政府补贴1|增发40|关联交易3|兼并收购2|股份增持1|
 复牌及公告	=总数=5=交易异动4|资产重组1|
调整额度	=总数=11=未分类1|关联交易4|担保事项6|
增加担保	=总数=6=担保事项6|
全资公司	=总数=73=未分类13|合同签订6|股份减持6|政府补贴2|关联交易15|资产重组1|兼并收购6|股份增持1|担保事项28|
 全资子公司投资公司	=总数=6=未分类1|股份减持3|关联交易2|
煤业公告	=总数=5=首发4|业绩发布1|
拟以股权	=总数=10=增发7|资产重组1|兼并收购2|
 拟以股权报告	=总数=6=增发4|兼并收购2|
董事对和	=总数=6=未分类1|关联交易1|资产重组1|担保事项3|
股东减持	=总数=326=未分类2|大宗交易22|股份减持324|
 持股股东减持	=总数=132=大宗交易16|股份减持132|
 公司股东减持	=总数=7=大宗交易1|股份减持7|
收储补偿	=总数=8=合同签订2|政府补贴6|
数据简报	=总数=34=业绩发布34|
部分生产	=总数=11=重大损失3|未分类2|关联交易3|担保事项3|
 部分生产及	=总数=5=关联交易2|担保事项3|
公司高管	=总数=26=未分类3|高管变动22|股份增持1|
诉讼撤诉	=总数=6=诉讼仲裁6|
申请材料	=总数=18=关联交易2|增发6|资产重组11|
核查情况	=总数=14=首发1|交易异动12|担保事项1|
重组相关	=总数=15=未分类1|关联交易1|增发1|资产重组14|
注销完成	=总数=29=回购14|股权激励19|
国有转让	=总数=5=合同签订1|股份减持5|股份增持1|
公司新增	=总数=7=配股1|增发1|关联交易5|
激励激励	=总数=142=回购1|股权激励142|
签署合作	=总数=80=未分类2|合同签订78|股份减持1|关联交易1|
 与签署合作	=总数=40=未分类1|合同签订39|关联交易1|
 子公司签署合作	=总数=9=未分类1|合同签订8|
公告更正	=总数=6=首发5|股份减持1|
获得专项	=总数=8=政府补贴8|
转让协议	=总数=10=合同签订7|股份减持6|增发1|股份增持6|
资产申请	=总数=16=增发2|资产重组13|担保事项1|
实施进展	=总数=22=回购1|未分类2|合同签订2|增发1|关联交易4|资产重组15|
所持质押	=总数=34=质押34|担保事项1|
分析报告	=总数=66=债券发行3|未分类2|配股2|关联交易1|增发55|兼并收购1|股份增持2|
 可行性分析报告	=总数=63=未分类2|配股2|关联交易1|增发55|兼并收购1|股份增持2|
进行交易	=总数=87=回购67|大宗交易1|未分类1|合同签订1|股份减持3|增发3|关联交易11|兼并收购1|质押57|股份增持1|
 进行购交易	=总数=67=回购62|未分类1|合同签订1|股份减持3|兼并收购1|质押53|股份增持1|
 进行回交易	=总数=12=回购8|未分类1|合同签订1|股份减持3|兼并收购1|
转让股权	=总数=193=未分类1|合同签订1|股份减持190|关联交易13|兼并收购1|股份增持2|
 转让大股权	=总数=6=股份减持6|
 拟转让股权	=总数=59=未分类1|股份减持57|股份增持1|
 转让所股权	=总数=26=未分类1|股份减持25|
 转让股权及	=总数=5=合同签订1|股份减持5|
 转让中股权	=总数=6=股份减持6|
 转让股权所	=总数=13=股份减持13|
 转让县股权	=总数=6=股份减持6|
 转让公司股权	=总数=48=股份减持47|关联交易1|兼并收购1|股份增持1|
拟转让及	=总数=6=股份减持6|
重组申请	=总数=20=资产重组20|兼并收购1|
股票证券	=总数=7=未分类1|首发5|股权激励1|
国有批复	=总数=5=股份减持2|增发1|资产重组1|兼并收购1|股份增持1|
配套获得	=总数=17=增发15|资产重组2|
预计事项	=总数=13=未分类1|关联交易10|担保事项2|
获准注册	=总数=12=债券发行12|
增持股份	=总数=195=兼并收购1|股份增持195|
交易提示	=总数=7=交易异动4|关联交易3|
公司整改	=总数=7=违规违纪7|资产重组1|
发行资金	=总数=106=债券发行1|首发1|未分类10|关联交易1|增发94|
 非公开发行资金	=总数=92=未分类3|关联交易1|增发89|
计划部分	=总数=23=回购2|股份减持3|股权激励20|
公司到期	=总数=6=债券发行5|合同签订1|
办理业务	=总数=12=回购6|未分类2|关联交易1|质押6|担保事项3|
交易核查	=总数=61=未分类1|合同签订2|交易异动23|关联交易30|增发20|资产重组9|兼并收购5|股份增持1|
 交易之核查	=总数=36=未分类1|合同签订2|关联交易29|增发19|资产重组9|兼并收购5|股份增持1|
仲裁进展	=总数=8=诉讼仲裁8|
股权股权	=总数=13=未分类1|合同签订2|股份减持2|关联交易1|资产重组1|兼并收购1|质押5|股份增持2|
重大诉讼	=总数=57=诉讼仲裁57|
公司股权	=总数=12=未分类1|合同签订1|股权激励8|关联交易1|兼并收购1|股份增持1|
 与公司股权	=总数=5=合同签订1|关联交易1|资产重组1|兼并收购3|
 对公司股权	=总数=6=未分类1|股份减持1|股权激励2|兼并收购2|
 公司股权权	=总数=9=股权激励7|关联交易1|股份增持1|
 拟公司股权	=总数=30=股份减持11|增发3|兼并收购15|股份增持1|
 以公司股权	=总数=7=增发3|兼并收购3|担保事项1|
 公司持股权	=总数=19=未分类3|股份减持9|关联交易2|资产重组1|质押1|兼并收购5|股份增持1|
 公司股权及	=总数=16=股份减持2|股权激励6|增发1|诉讼仲裁1|兼并收购1|质押4|股份增持1|
 公司拟股权	=总数=41=股份减持11|增发2|资产重组1|兼并收购24|股份增持3|
 公司股权之	=总数=13=未分类1|合同签订1|股份减持1|股权激励6|兼并收购4|
 公司所股权	=总数=16=未分类3|股份减持8|关联交易2|资产重组1|兼并收购5|
 本公司股权	=总数=8=质押7|股份增持1|
 业公司股权	=总数=18=股份减持6|资产重组1|兼并收购10|股份增持1|
  子公司业公司股权	=总数=5=资产重组1|兼并收购4|
 中公司股权	=总数=13=股份减持8|增发1|兼并收购3|股份增持1|
 及公司股权	=总数=7=股份减持1|关联交易2|增发1|兼并收购5|股份增持1|
 公司公司股权	=总数=53=回购1|未分类3|股份减持14|关联交易2|增发1|资产重组2|质押1|兼并收购27|股份增持6|
 挂牌公司股权	=总数=7=股份减持5|兼并收购2|
 公司股权质押	=总数=63=质押63|
 公司股权变更	=总数=6=股份减持2|兼并收购3|股份增持2|
 公司股权事项	=总数=25=股份减持3|股权激励9|关联交易2|兼并收购10|股份增持3|
 子公司公司股权	=总数=30=股份减持10|增发1|资产重组1|兼并收购16|股份增持3|
计划实施	=总数=88=未分类2|股份减持2|股权激励53|股份增持31|
 持计划实施	=总数=32=股份减持2|股份增持30|
筹划重组	=总数=44=资产重组44|
拟转让其	=总数=18=股份减持18|
股权管理	=总数=10=股权激励9|关联交易1|
持公司股	=总数=253=未分类7|大宗交易5|股份减持70|违规违纪1|诉讼仲裁3|兼并收购1|质押18|担保事项1|股份增持153|
权益评估	=总数=162=未分类5|股份减持74|增发21|资产重组5|业绩发布1|兼并收购55|股份增持1|担保事项1|
计划结果	=总数=14=股权激励8|股份增持6|
调整计划	=总数=30=回购1|未分类1|股权激励28|股份增持1|
公开股性	=总数=12=增发12|
 公开发行股性	=总数=13=未分类1|增发12|
公司价值	=总数=20=未分类1|股份减持7|增发5|兼并收购7|
行权股票	=总数=6=回购2|股权激励4|
实施办法	=总数=55=股权激励54|政府补贴1|
股权登记	=总数=25=未分类2|股份减持3|增发1|兼并收购6|质押9|股份增持4|
 股权工商变更登记	=总数=13=未分类1|股份减持2|兼并收购6|股份增持4|
股票所涉	=总数=12=股权激励11|增发1|
本次股份	=总数=11=股份减持1|关联交易2|增发10|
部分进展	=总数=15=回购4|未分类2|合同签订1|股份减持2|诉讼仲裁1|兼并收购4|股份增持1|
 公司部分进展	=总数=6=未分类1|合同签订1|股份减持2|诉讼仲裁1|股份增持1|
及支付之	=总数=6=未分类1|增发5|
转让事项	=总数=9=股份减持9|
取消股票	=总数=7=股权激励5|增发2|
财务意见	=总数=87=未分类2|合同签订1|关联交易19|增发53|资产重组16|业绩发布3|兼并收购20|股份增持1|
 财务核查意见	=总数=70=未分类1|合同签订1|关联交易15|增发45|资产重组14|兼并收购18|股份增持1|
  之财务核查意见	=总数=15=未分类1|增发2|兼并收购13|股份增持1|
交易实施	=总数=44=未分类1|增发21|关联交易43|资产重组9|兼并收购3|股份增持2|
股票修订	=总数=22=股权激励20|增发2|
特许经营	=总数=11=未分类1|合同签订10|
股东融资	=总数=19=回购3|债券发行8|大宗交易3|未分类3|股份减持3|质押1|担保事项3|
申请业务	=总数=6=未分类1|担保事项5|
计划调整	=总数=45=股权激励44|诉讼仲裁1|
质押股票	=总数=5=回购1|质押5|
计划执行	=总数=7=未分类1|诉讼仲裁2|关联交易3|资产重组1|
股票结果	=总数=62=债券发行1|未分类2|首发18|股权激励4|交易异动1|诉讼仲裁1|关联交易2|增发35|资产重组1|
申请申请	=总数=13=配股1|增发5|资产重组7|
发行权益	=总数=16=增发16|
获得国资	=总数=24=股份减持2|股权激励1|配股1|增发14|资产重组6|股份增持1|
债券预案	=总数=9=债券发行9|
资产实施	=总数=46=关联交易4|增发28|资产重组21|兼并收购1|
境外提供	=总数=6=关联交易3|担保事项3|
股东委托	=总数=18=股权激励1|关联交易17|
对象股票	=总数=60=合同签订1|股权激励56|增发4|股份增持1|
 向对象股票	=总数=48=股权激励45|增发3|
措施情况	=总数=32=违规违纪29|增发3|
公司事宜	=总数=43=回购12|未分类1|合同签订2|股份减持1|股权激励11|诉讼仲裁1|关联交易2|增发4|资产重组1|兼并收购6|股份增持5|
 公司及事宜	=总数=5=回购2|股权激励2|增发1|资产重组1|
土地补偿	=总数=15=未分类2|合同签订4|政府补贴9|
 土地补偿款	=总数=8=政府补贴8|
一致行动	=总数=104=未分类1|合同签订12|股份减持16|增发1|关联交易1|质押2|兼并收购23|担保事项1|股份增持49|
 人一致行动	=总数=11=合同签订3|股份减持3|股份增持5|
  实际控制人一致行动人持	=总数=5=股份减持3|股份增持2|
 一致行动人	=总数=97=未分类1|合同签订6|股份减持16|增发1|质押2|兼并收购23|股份增持49|
  及一致行动人	=总数=21=合同签订1|股份减持3|兼并收购9|股份增持9|
   及一致行动人股份	=总数=7=股份减持2|兼并收购4|股份增持1|
  一致行动人持	=总数=62=合同签订1|股份减持15|股份增持47|
   一致行动人减持	=总数=14=股份减持14|
   一致行动人增持	=总数=47=股份增持47|
   及其一致行动人持	=总数=26=股份减持8|股份增持18|
   一致行动人持计划	=总数=5=股份减持1|股份增持4|
  一致行动人报告	=总数=9=兼并收购8|股份增持1|
  一致行动人部分	=总数=5=兼并收购4|股份增持1|
  一致行动人公告	=总数=7=质押1|兼并收购3|股份增持3|
  一致行动人公司	=总数=44=股份减持4|兼并收购10|股份增持30|
  一致行动人股份	=总数=61=股份减持14|质押1|兼并收购8|股份增持38|
  一致行动人财务	=总数=6=股份减持1|兼并收购5|
  股东一致行动人	=总数=42=未分类1|合同签订1|股份减持9|增发1|质押1|股份增持30|
   股东及其一致行动人	=总数=18=股份减持6|质押1|股份增持11|
  及其一致行动人申请	=总数=6=兼并收购6|
 公司一致行动	=总数=8=合同签订4|增发1|股份增持3|
 股东一致行动	=总数=45=未分类1|合同签订3|股份减持9|增发1|质押1|担保事项1|股份增持30|
股票计划	=总数=811=回购4|未分类1|股权激励809|增发1|
 股股票计划	=总数=36=未分类1|股权激励35|
 限制性股票计划	=总数=316=回购2|股权激励316|
选举职工	=总数=162=高管变动162|
资产之标	=总数=9=关联交易1|增发9|资产重组1|
事前认可	=总数=219=未分类12|合同签订10|股份减持4|高管变动4|关联交易175|增发22|资产重组6|业绩发布1|兼并收购9|质押1|股份增持3|担保事项8|
 事前认可及	=总数=15=高管变动1|关联交易11|担保事项5|
 事前认可函	=总数=14=合同签订1|关联交易13|增发2|
 公司事前认可	=总数=12=增发1|关联交易11|
 事前认可声明	=总数=12=股份减持1|关联交易11|增发1|股份增持1|
框架协议	=总数=79=未分类2|合同签订76|股份减持1|关联交易4|兼并收购4|股份增持1|担保事项1|
 与框架协议	=总数=30=未分类1|合同签订29|股份减持1|关联交易1|担保事项1|
 框架协议书	=总数=8=合同签订8|
 子公司框架协议	=总数=6=未分类1|合同签订5|
公司增补	=总数=5=高管变动5|
涉及资产	=总数=21=未分类1|股份减持5|增发7|关联交易2|资产重组3|兼并收购2|业绩发布1|
回购事项	=总数=5=回购5|
股份方案	=总数=16=回购2|未分类1|增发13|
股份之性	=总数=6=增发2|兼并收购4|
首次授予	=总数=68=未分类1|股权激励67|
合资设立	=总数=6=未分类1|合同签订2|关联交易3|
项目评估	=总数=278=未分类16|股份减持114|关联交易1|增发54|资产重组3|业绩发布2|兼并收购89|担保事项1|股份增持5|
 及项目评估	=总数=23=股份减持8|增发8|资产重组1|兼并收购6|
  拟及项目评估	=总数=17=股份减持5|增发7|兼并收购5|
 拟项目评估	=总数=154=未分类8|股份减持52|增发32|兼并收购66|股份增持3|
  拟所项目评估	=总数=11=未分类1|股份减持6|增发1|兼并收购3|
 中电项目评估	=总数=5=股份减持5|
 部分项目评估	=总数=13=未分类1|股份减持8|增发1|兼并收购3|
人持计划	=总数=25=大宗交易1|股份减持12|股份增持13|
进行股权	=总数=18=回购1|未分类1|股份减持10|增发1|资产重组1|质押1|兼并收购2|股份增持2|
 拟进行股权	=总数=14=未分类1|股份减持10|增发1|兼并收购1|股份增持1|
 子公司进行股权	=总数=5=股份减持1|资产重组1|兼并收购1|股份增持2|
要约公司	=总数=26=兼并收购25|股份增持1|
回购进展	=总数=14=回购14|
持股股份	=总数=136=大宗交易19|股份减持134|股份增持2|
计划完毕	=总数=17=未分类1|股份减持2|诉讼仲裁1|股份增持13|
担保情况	=总数=41=回购1|关联交易2|担保事项41|
对及进行	=总数=7=股权激励3|关联交易1|担保事项3|
激励办法	=总数=6=股权激励6|
注销股票	=总数=56=回购42|股权激励18|增发2|
 注销已股票	=总数=5=回购1|股权激励4|
 注销限制性股票	=总数=43=回购42|股权激励7|
国有资产	=总数=7=未分类1|股份减持3|增发2|股份增持1|
收到关于	=总数=7=未分类1|股份减持1|交易异动1|增发4|
股权协议	=总数=29=未分类1|合同签订26|股份减持4|关联交易5|兼并收购8|股份增持4|
 与股权协议	=总数=8=合同签订8|关联交易3|
 股权之协议	=总数=5=合同签订5|关联交易1|
公司人员	=总数=166=未分类4|股份减持3|高管变动149|股权激励5|关联交易1|资产重组3|股份增持2|
 公司及人员	=总数=8=股份减持2|高管变动4|股权激励1|关联交易1|资产重组1|
 对公司人员	=总数=11=未分类1|高管变动9|股权激励1|
对象资产	=总数=8=增发8|
收到措施	=总数=7=违规违纪7|
重大公告	=总数=805=未分类141|合同签订79|股份减持1|高管变动2|股权激励3|交易异动1|增发22|关联交易2|诉讼仲裁58|资产重组493|兼并收购5|质押1|
提供担保	=总数=503=债券发行1|合同签订2|关联交易10|担保事项502|
 及提供担保	=总数=18=担保事项18|
 其提供担保	=总数=20=担保事项20|
 为提供担保	=总数=396=合同签订2|关联交易9|担保事项395|
  为和提供担保	=总数=5=关联交易4|担保事项5|
  为提供反担保	=总数=5=担保事项5|
  为向提供担保	=总数=24=担保事项24|
 向提供担保	=总数=38=债券发行1|担保事项38|
 对提供担保	=总数=24=担保事项24|
 提供反担保	=总数=10=债券发行1|担保事项10|
 参股提供担保	=总数=16=关联交易1|担保事项15|
 预计提供担保	=总数=6=担保事项6|
 对外提供担保	=总数=16=担保事项16|
 授信提供担保	=总数=76=担保事项76|
 提供对外担保	=总数=6=担保事项6|
 债务提供担保	=总数=6=担保事项6|
重组审核	=总数=19=未分类1|关联交易2|增发13|资产重组5|兼并收购3|
 购重组委审核	=总数=12=未分类1|增发8|资产重组3|兼并收购3|
拟股权所	=总数=45=未分类1|股份减持23|增发2|兼并收购20|
转让债权	=总数=8=股份减持7|担保事项1|
购买股票	=总数=20=未分类1|合同签订1|增发12|兼并收购1|股份增持6|
 拟购买股票	=总数=6=增发5|股份增持1|
本次重大	=总数=18=未分类1|增发1|关联交易1|资产重组16|
转让进展	=总数=20=未分类2|合同签订1|股份减持19|股份增持1|
 子公司转让进展	=总数=6=未分类1|股份减持5|
评估报告	=总数=364=未分类28|股份减持150|关联交易2|增发56|资产重组7|业绩发布3|兼并收购115|担保事项3|股份增持6|
 中评估报告	=总数=11=未分类1|股份减持6|资产重组1|兼并收购2|股份增持1|
 该评估报告	=总数=5=股份减持3|资产重组2|
 评估报告书	=总数=71=未分类6|股份减持37|增发1|资产重组3|兼并收购20|担保事项1|股份增持3|
 拟评估报告	=总数=147=未分类8|股份减持49|增发28|资产重组4|兼并收购59|股份增持3|
 电评估报告	=总数=8=未分类1|股份减持7|
 所评估报告	=总数=28=未分类1|股份减持15|增发5|业绩发布1|兼并收购6|
 建筑物评估报告	=总数=5=股份减持3|增发1|兼并收购1|
产品产销	=总数=10=未分类1|业绩发布9|
公司重组	=总数=34=未分类1|合同签订2|关联交易1|资产重组31|兼并收购2|
辞职公告	=总数=97=高管变动97|
调整授予	=总数=19=回购2|股权激励17|
 调整及授予	=总数=23=股权激励23|
回购实施	=总数=8=回购8|
召开会议	=总数=7=债券发行6|未分类1|
重大经营	=总数=32=未分类3|合同签订29|
资产预案	=总数=15=增发12|资产重组5|
交易重大	=总数=7=交易异动1|关联交易6|增发5|资产重组4|
