补助资金	=总数=49=政府补贴49|
 有限公司协议	=总数=9=未分类1|合同签订8|关联交易1|
 发展有限公司	=总数=10=未分类1|合同签订1|股份减持2|关联交易1|兼并收购5|
  发展有限公司股权	=总数=6=股份减持2|兼并收购4|
 收购有限公司	=总数=63=合同签订1|兼并收购60|股份增持4|
  公司收购有限公司股权	=总数=15=兼并收购13|股份增持3|
  收购材料有限公司股权	=总数=6=兼并收购3|股份增持3|
  收购医药有限公司股权	=总数=5=兼并收购5|
  收购科技有限公司股权	=总数=7=兼并收购7|
 开发有限公司	=总数=7=未分类1|股份减持1|诉讼仲裁1|关联交易2|兼并收购1|业绩发布1|
 电子有限公司	=总数=6=未分类1|政府补贴1|业绩发布1|兼并收购3|
 重新有限公司	=总数=5=关联交易3|兼并收购2|
 有限公司承诺	=总数=6=回购1|未分类1|资产重组1|兼并收购2|担保事项1|
 材料有限公司	=总数=18=未分类3|股份减持1|政府补贴1|增发1|诉讼仲裁2|业绩发布1|兼并收购4|预增1|股份增持4|
  材料有限公司股权	=总数=10=股份减持1|增发1|兼并收购4|股份增持4|
 有限公司提供	=总数=30=关联交易7|担保事项27|
 有限公司持有	=总数=5=股份减持1|增发3|兼并收购1|
 有限公司事项	=总数=11=股份减持2|政府补贴1|关联交易1|诉讼仲裁6|股份增持1|
 有限公司评估	=总数=42=未分类1|股份减持16|增发10|兼并收购14|股份增持1|
  有限公司股权评估	=总数=19=股份减持4|增发5|兼并收购9|股份增持1|
  有限责任公司评估	=总数=12=股份减持7|增发5|
  有限公司全部权益价值评估	=总数=5=股份减持3|兼并收购2|
 使用有限公司	=总数=16=未分类1|兼并收购14|担保事项1|
 制药有限公司	=总数=6=政府补贴1|兼并收购5|
 技术有限公司	=总数=9=未分类1|股份减持1|兼并收购4|担保事项3|
 有限公司交易	=总数=17=首发1|合同签订1|关联交易15|
  股份有限公司交易	=总数=5=首发1|关联交易4|
 有限公司额度	=总数=5=关联交易3|担保事项2|
 有限公司进展	=总数=7=股份减持3|诉讼仲裁1|资产重组1|兼并收购2|
 医疗有限公司	=总数=9=增发1|关联交易1|兼并收购8|
 购买有限公司	=总数=5=关联交易2|增发1|兼并收购1|股份增持1|
 包装有限公司	=总数=6=增发1|兼并收购6|
 有限公司全部	=总数=26=未分类1|股份减持13|增发5|兼并收购7|
  投资有限公司全部	=总数=5=股份减持3|兼并收购2|
  有限公司全部权益	=总数=10=股份减持5|增发3|兼并收购2|
  有限公司全部股权	=总数=6=股份减持5|兼并收购1|
 天有限公司股权	=总数=5=兼并收购5|
 公司天有限公司	=总数=6=资产重组1|兼并收购3|担保事项2|
 航有限公司股权	=总数=5=股份减持2|增发1|兼并收购2|
 股份有限公司持	=总数=5=股份减持5|
 有限责任公司增	=总数=8=关联交易5|股份增持3|
 公司有限责任公司	=总数=22=回购1|未分类3|合同签订1|股份减持1|政府补贴2|关联交易11|担保事项5|股份增持2|
 公司有限公司股权	=总数=36=回购1|股份减持11|增发1|兼并收购18|股份增持6|
  公司股份有限公司股权	=总数=8=股份减持5|增发1|兼并收购2|
 投资有限公司股权	=总数=20=回购1|股份减持6|兼并收购9|股份增持4|
 科技有限公司股权	=总数=10=股份减持2|兼并收购8|
 有限公司股权公告	=总数=6=股份减持4|兼并收购2|股份增持1|
 公司科技有限公司	=总数=8=未分类1|合同签订1|股份减持2|关联交易2|增发1|兼并收购1|担保事项1|股份增持1|
 股份有限公司股权	=总数=26=股份减持9|增发2|兼并收购12|股份增持3|
  子公司股份有限公司股权	=总数=5=股份减持3|增发1|兼并收购1|
 出售有限公司股权	=总数=6=合同签订1|股份减持4|兼并收购2|
 公司股份有限公司	=总数=13=未分类2|股份减持5|增发1|关联交易1|兼并收购2|担保事项2|
 有限公司盈利预测	=总数=12=预减2|业绩发布1|预增10|
 科技股份有限公司	=总数=8=未分类1|股份减持1|预减1|兼并收购5|
 医药股份有限公司	=总数=5=增发2|兼并收购2|预增1|
 稀土股份有限公司	=总数=7=增发1|诉讼仲裁2|预增1|股份增持3|
 矿业投资有限公司	=总数=5=股份减持1|关联交易2|兼并收购2|
 子公司有限公司股权	=总数=23=股份减持9|增发1|兼并收购11|股份增持3|
 子公司股份有限公司	=总数=7=股份减持3|增发1|兼并收购1|担保事项2|
 全资子公司有限公司	=总数=37=未分类7|合同签订2|股份减持3|政府补贴2|关联交易11|资产重组1|兼并收购1|担保事项14|
延期换届	=总数=24=未分类3|高管变动21|
 董事会延期换届选举	=总数=15=高管变动15|
提名董事	=总数=63=高管变动63|
合作开发	=总数=7=合同签订7|
支付现金	=总数=229=关联交易51|增发227|资产重组12|兼并收购1|股份增持4|
 支付现金及	=总数=6=增发6|
 公司支付现金	=总数=96=增发95|关联交易21|资产重组7|
 支付现金购买资产事项	=总数=6=增发6|
 拟发行股份支付现金购买	=总数=7=增发7|股份增持1|
  拟发行股份及支付现金购买	=总数=6=增发6|
股权受让	=总数=6=合同签订1|股份减持1|股份增持6|
投资框架	=总数=9=未分类1|合同签订8|
综合授信	=总数=38=未分类7|合同签订3|担保事项28|
 综合授信担保	=总数=25=担保事项25|
 公司综合授信	=总数=23=未分类2|担保事项21|
 子公司综合授信	=总数=16=担保事项16|
所持部分	=总数=18=股份减持1|诉讼仲裁1|关联交易2|兼并收购2|质押14|担保事项1|
 所持部分股权	=总数=5=股份减持1|关联交易2|兼并收购2|质押2|
 公司所持部分	=总数=6=关联交易2|兼并收购2|质押4|
 控股股东所持部分	=总数=12=诉讼仲裁1|质押11|担保事项1|
 股东所持部分股份	=总数=12=诉讼仲裁1|质押11|担保事项1|
股东全部	=总数=149=未分类6|股份减持66|增发21|资产重组3|业绩发布1|兼并收购51|股份增持1|担保事项1|
 拟股东全部权益	=总数=18=股份减持4|增发7|资产重组1|兼并收购6|
  拟涉及股东全部权益	=总数=11=股份减持3|增发5|兼并收购3|
 公司股东全部权益	=总数=22=股份减持11|增发5|兼并收购6|
  公司股东全部权益资产评估	=总数=5=股份减持3|增发2|
 和股东全部权益评估	=总数=5=股份减持2|增发1|兼并收购2|
  和股东全部权益价值评估	=总数=5=股份减持3|兼并收购2|
 正股东全部权益评估	=总数=8=股份减持6|兼并收购2|
 股份股东全部权益资产评估	=总数=5=增发5|
 股权股东全部权益评估报告	=总数=6=股份减持6|
  股权股东全部权益资产评估报告	=总数=16=股份减持12|兼并收购4|
 项目股东全部权益价值评估报告	=总数=20=股份减持13|增发1|兼并收购6|
  项目股东全部权益价值资产评估报告	=总数=17=股份减持12|兼并收购5|
 涉及股东全部权益资产评估报告	=总数=12=股份减持4|增发5|兼并收购2|业绩发布1|
  所涉及股东全部权益资产评估报告	=总数=5=股份减持2|增发3|
提供银行	=总数=12=关联交易4|担保事项11|
 为子公司提供银行	=总数=5=担保事项5|
控股申请	=总数=20=关联交易10|兼并收购1|担保事项9|
 公司控股申请	=总数=6=关联交易3|担保事项3|
 控股子公司申请	=总数=8=担保事项8|
发行意见	=总数=28=首发1|未分类4|增发23|
 公司发行股份意见	=总数=6=首发1|增发5|
 发行股份购买资产意见	=总数=18=增发18|
公司职务	=总数=9=高管变动9|
配股申请	=总数=8=配股8|
质押解除	=总数=55=回购2|质押55|
 股份质押解除	=总数=20=质押20|
 部分质押解除	=总数=12=质押12|
 控股股东质押解除	=总数=13=质押13|
 公司股东质押解除	=总数=11=质押11|
公司及增	=总数=7=未分类1|合同签订1|增发1|兼并收购1|股份增持3|
公司定向	=总数=6=债券发行1|增发1|兼并收购4|股份增持1|
签订股权	=总数=14=合同签订13|股份减持3|增发1|兼并收购5|股份增持1|
 签订股权协议	=总数=10=合同签订9|股份减持1|兼并收购4|股份增持1|
职工公告	=总数=17=高管变动17|
经营交易	=总数=17=未分类1|合同签订5|关联交易11|
矿业有限	=总数=11=未分类1|合同签订1|股份减持1|预减1|关联交易2|兼并收购5|预增1|
激励计划	=总数=918=回购4|未分类1|股权激励917|
 对激励计划	=总数=28=股权激励28|
 激励计划获	=总数=31=股权激励31|
 激励计划行	=总数=107=股权激励107|
 激励计划及	=总数=51=股权激励51|
 激励计划之	=总数=65=回购1|股权激励65|
 股激励计划	=总数=18=股权激励18|
