平安银行股份有限公司	平安银行
中水集团远洋股份有限公司	中水渔业
酒鬼酒股份有限公司	酒鬼酒
一汽轿车股份有限公司	一汽轿车
四川九洲电器股份有限公司	四川九洲
北京京西风光旅游开发股份有限公司	北京旅游
四川金宇汽车城(集团)股份有限公司	金宇车城
江苏炎黄在线物流股份有限公司	炎黄物流
北海银河产业投资股份有限公司	银河产投
云南铝业股份有限公司	云铝股份
铁岭新城投资控股股份有限公司	铁岭新城
华润锦华股份有限公司	华润锦华
烟台冰轮股份有限公司	烟台冰轮
陕西金叶科教集团股份有限公司	陕西金叶
新疆天山毛纺织股份有限公司	天山纺织
中冶美利纸业股份有限公司	美利纸业
江苏江淮动力股份有限公司	江淮动力
辽河金马油田股份有限公司	辽河油田
方大锦化化工科技股份有限公司	方大化工
岳阳兴长石化股份有限公司	岳阳兴长
金城造纸股份有限公司	金城股份
湖北京山轻工机械股份有限公司	京山轻机
山东海化股份有限公司	山东海化
广东汕头超声电子股份有限公司	超声电子
山西太钢不锈钢股份有限公司	太钢不锈
桑德环境资源股份有限公司	桑德环境
东莞发展控股股份有限公司	东莞控股
天音通信控股股份有限公司	天音控股
鲁西化工集团股份有限公司	鲁西化工
五矿稀土股份有限公司	五矿稀土
广西贵糖(集团)股份有限公司	贵糖股份
四川圣达实业股份有限公司	四川圣达
天津鑫茂科技股份有限公司	鑫茂科技
陕西秦川机械发展股份有限公司	秦川发展
国兴融达地产股份有限公司	国兴地产
中信国安信息产业股份有限公司	中信国安
河北承德露露股份有限公司	承德露露
安徽华茂纺织股份有限公司	华茂股份
大唐高鸿数据网络技术股份有限公司	高鸿股份
江汉石油钻头股份有限公司	江钻股份
唐山冀东装备工程股份有限公司	冀东装备
宜宾五粮液股份有限公司	五粮液
安徽国风塑业股份有限公司	国风塑业
北京顺鑫农业股份有限公司	顺鑫农业
广东海印集团股份有限公司	海印股份
宁夏银星能源股份有限公司	银星能源
三湘股份有限公司	三湘股份
中国石化扬子石油化工股份有限公司	扬子石化
安徽安凯汽车股份有限公司	安凯客车
烟台张裕葡萄酿酒股份有限公司	张裕Ａ
烟台张裕葡萄酿酒股份有限公司	张裕Ａ
吉林电力股份有限公司	吉电股份
新希望六和股份有限公司	新希望
新疆天山水泥股份有限公司	天山股份
云南铜业股份有限公司	云南铜业
潍柴重机股份有限公司	潍柴重机
中国大连国际合作(集团)股份有限公司	大连国际
北京华联商厦股份有限公司	华联股份
湖北能源集团股份有限公司	湖北能源
河南同力水泥股份有限公司	同力水泥
海南高速公路股份有限公司	海南高速
安徽中鼎密封件股份有限公司	中鼎股份
峨眉山旅游股份有限公司	峨眉山Ａ
茂业物流股份有限公司	茂业物流
江苏法尔胜股份有限公司	法尔胜
星美联合股份有限公司	星美联合
广州东凌粮油股份有限公司	东凌粮油
河南双汇投资发展股份有限公司	双汇发展
